trial_id,deadzone_px,target_size,target_speed,target_distance,success,time_to_lock,hit_ratio
602,4,0.2,40,10,0,10.0,0.0
603,2,0.4,40,10,0,10.0,0.0
604,4,0.4,40,10,0,10.0,0.0
605,2,0.6,40,10,0,10.0,0.0
606,4,0.6,40,10,0,10.0,0.0
607,2,0.8,40,10,0,10.0,0.0
608,4,0.8,40,10,0,10.0,0.0
609,2,1.0,40,10,0,10.0,0.0
610,4,1.0,40,10,0,10.0,0.0
611,2,0.2,60,10,0,10.0,0.0
612,4,0.2,60,10,0,10.0,0.0
613,2,0.4,60,10,0,10.0,0.0
614,4,0.4,60,10,0,10.0,0.0
615,2,0.6,60,10,0,10.0,0.0
616,4,0.6,60,10,0,10.0,0.0
617,2,0.8,60,10,0,10.0,0.0
618,4,0.8,60,10,0,10.0,0.0
619,2,1.0,60,10,0,10.0,0.0
620,4,1.0,60,10,0,10.0,0.0
621,2,0.2,80,10,0,10.0,0.0
622,4,0.2,80,10,0,10.0,0.0
